Date,kWh
1/1/2019 0:00,457
1/1/2019 1:00,476
1/1/2019 2:00,425
1/1/2019 3:00,473
1/1/2019 4:00,507
1/1/2019 5:00,531
1/1/2019 6:00,627
1/1/2019 7:00,566
1/1/2019 8:00,563
1/1/2019 9:00,618
1/1/2019 10:00,485
1/1/2019 11:00,553
1/1/2019 12:00,515
1/1/2019 13:00,478
1/1/2019 14:00,484
1/1/2019 15:00,491
1/1/2019 16:00,497
1/1/2019 17:00,456
1/1/2019 18:00,597
1/1/2019 19:00,512
1/1/2019 20:00,534
1/1/2019 21:00,528
1/1/2019 22:00,496
1/1/2019 23:00,423
1/2/2019 0:00,437
1/2/2019 1:00,418
1/2/2019 2:00,472
1/2/2019 3:00,435
1/2/2019 4:00,444
1/2/2019 5:00,460
1/2/2019 6:00,423
1/2/2019 7:00,483
1/2/2019 8:00,481
1/2/2019 9:00,493
1/2/2019 10:00,436
1/2/2019 11:00,475
1/2/2019 12:00,500
1/2/2019 13:00,462
1/2/2019 14:00,465
1/2/2019 15:00,441
1/2/2019 16:00,450
1/2/2019 17:00,447
1/2/2019 18:00,455
1/2/2019 19:00,473
1/2/2019 20:00,538
1/2/2019 21:00,502
1/2/2019 22:00,463
1/2/2019 23:00,442
1/3/2019 0:00,459
1/3/2019 1:00,471
1/3/2019 2:00,427
1/3/2019 3:00,418
1/3/2019 4:00,461
1/3/2019 5:00,436
1/3/2019 6:00,424
1/3/2019 7:00,463
1/3/2019 8:00,474
1/3/2019 9:00,458
1/3/2019 10:00,437
1/3/2019 11:00,463
1/3/2019 12:00,472
1/3/2019 13:00,435
1/3/2019 14:00,426
1/3/2019 15:00,450
1/3/2019 16:00,538
1/3/2019 17:00,429
1/3/2019 18:00,472
1/3/2019 19:00,477
1/3/2019 20:00,469
1/3/2019 21:00,458
1/3/2019 22:00,452
1/3/2019 23:00,502
1/4/2019 0:00,500
1/4/2019 1:00,461
1/4/2019 2:00,451
1/4/2019 3:00,441
1/4/2019 4:00,429
1/4/2019 5:00,460
1/4/2019 6:00,476
1/4/2019 7:00,484
1/4/2019 8:00,490
1/4/2019 9:00,474
1/4/2019 10:00,469
